fiscal_year,Query_Run,Customer,SubCustomer,productorservicearea,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
NULL,08:22.5,Defense,NULL,NULL,NULL,NULL,NULL
NULL,08:22.5,Defense,Other DoD,NULL,NULL,NULL,NULL
1988,08:22.5,Defense,Navy,Aircraft,NULL,53000,NULL
1989,08:22.5,Defense,Army,FRS&C,Firm Fixed Price,47930000,NULL
1989,08:22.5,Defense,Army,R&D,Cost Plus Fixed Fee,14886000,NULL
1989,08:22.5,Defense,Navy,NULL,NULL,NULL,NULL
1989,08:22.5,Defense,Navy,Aircraft,Fixed Price Incentive,942000,NULL
1989,08:22.5,Defense,Navy,Clothing & Subsistence,NULL,1341000,NULL
1989,08:22.5,Defense,Navy,Clothing & Subsistence,Firm Fixed Price,518000,NULL
1989,08:22.5,Defense,Navy,Electronics & Communications,Firm Fixed Price,73206946,NULL
1989,08:22.5,Defense,Navy,ERS,NULL,1328000,NULL
1989,08:22.5,Defense,Navy,ERS,Time and Materials,2221000,NULL
1989,08:22.5,Defense,Navy,Ground Vehicles,NULL,87000,NULL
1989,08:22.5,Defense,Navy,Ground Vehicles,Firm Fixed Price,140000,NULL
1989,08:22.5,Defense,Navy,ICT,Time and Materials,1549000,NULL
1989,08:22.5,Defense,Navy,Missiles & Space,NULL,48531000,NULL
1989,08:22.5,Defense,Navy,Other,Fixed Price with Economic Price Adjustment,217000,NULL
1989,08:22.5,Defense,Navy,Ships,Cost Plus Fixed Fee,589000,NULL
1989,08:22.5,Defense,Other DoD,PAMS,Cost Plus Award Fee,3077000,NULL
1989,08:22.5,Defense,Other DoD,PAMS,Firm Fixed Price,32000,NULL
1989,08:22.5,Defense,Other DoD,R&D,Cost Plus Fixed Fee,52000000,NULL
1989,08:22.5,Defense,Other DoD,R&D,Firm Fixed Price,2335000,NULL
1990,08:22.5,Defense,Air Force,Aircraft,Fixed Price Incentive,1329593000,NULL
1990,08:22.5,Defense,Air Force,Aircraft,Fixed Price with Economic Price Adjustment,10348000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,NULL,621243000,NULL
1990,08:22.5,Defense,Air Force,Electronics & Communications,Cost Plus Award Fee,19823000,NULL
1990,08:22.5,Defense,Air Force,ERS,Labor Hours,4531000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Cost Plus Fixed Fee,122791000,NULL
1990,08:22.5,Defense,Air Force,FRS&C,Fixed Price Redetermination,13106000,NULL
1990,08:22.5,Defense,Air Force,MED,Fixed Price Incentive,893000,NULL
1990,08:22.5,Defense,Air Force,Missiles & Space,Cost Plus Incentive,64029000,NULL
1990,08:22.5,Defense,Air Force,Missiles & Space,Fixed Price with Economic Price Adjustment,40340000,NULL
1990,08:22.5,Defense,Air Force,Other,Labor Hours,254000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Cost No Fee,21666000,NULL
1990,08:22.5,Defense,Air Force,PAMS,Cost Plus Incentive,94426000,NULL
1990,08:22.5,Defense,Air Force,R&D,Cost No Fee,636845000,NULL
1990,08:22.5,Defense,Air Force,R&D,Cost Sharing,113849000,NULL
1990,08:22.5,Defense,Army,Aircraft,Cost Plus Incentive,3380000,NULL
1990,08:22.5,Defense,Army,Electronics & Communications,Fixed Price Incentive,55815000,NULL
1990,08:22.5,Defense,Army,Electronics & Communications,Fixed Price with Economic Price Adjustment,948409000,NULL
1990,08:22.5,Defense,Army,Electronics & Communications,Time and Materials,8302000,NULL
1990,08:22.5,Defense,Army,ERS,Cost No Fee,53981000,NULL
1990,08:22.5,Defense,Army,ERS,Fixed Price with Economic Price Adjustment,1456000,NULL
