fiscal_year,Query_Run_Date,SubCustomer,ServicesCategory,CompetitionClassification,ClassifyNumberOfOffers,SumOfobligatedAmount,SumOfnumberOfActions
1988,18:19.4,Navy,ERS,Limited Competition with multiple offers,Two Offers,992000,NULL
1988,18:19.4,Navy,Products,No Competition (Unlabeled Exception),No competition,1524000,NULL
1989,18:19.4,Army,ERS,Competition with single offer,One Offer,-36000,NULL
1989,18:19.4,Army,FRS&C,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,177000,NULL
1989,18:19.4,Army,Products,Limited Competition with multiple offers,Two Offers,19480000,NULL
1989,18:19.4,Navy,ERS,No Competition (Unlabeled Exception),No competition,53686000,NULL
1989,18:19.4,Navy,MED,Limited Competition with multiple offers,Two Offers,156000,NULL
1989,18:19.4,Navy,Products,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,93755000,NULL
1990,18:19.4,Air Force,Fuel,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,94206000,NULL
1990,18:19.4,Air Force,ICT,Competition with single offer,One Offer,55500000,NULL
1990,18:19.4,Air Force,ICT,Unlabeled: Competition; Unlabeled Offers,NULL,51725000,NULL
1990,18:19.4,Air Force,PAMS,No Competition (Only One Source Exception),No competition,568299000,NULL
1990,18:19.4,Air Force,Products,No Competition (Unlabeled Exception),No competition,3565551000,NULL
1990,18:19.4,Air Force,R&D,No Competition (Only One Source Exception),No competition,1037790000,NULL
1990,18:19.4,Army,ERS,No Competition (Only One Source Exception),No competition,159484000,NULL
1990,18:19.4,Army,FRS&C,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,86044000,NULL
1990,18:19.4,Army,Fuel,Limited Competition with multiple offers,Two Offers,10336000,NULL
1990,18:19.4,Army,ICT,No Competition (Only One Source Exception),No competition,57169000,NULL
1990,18:19.4,Army,MED,Competition with single offer,One Offer,2355000,NULL
1990,18:19.4,Army,PAMS,No Competition (Other Exception),No competition,148654000,NULL
1990,18:19.4,Army,PAMS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,108509000,NULL
1990,18:19.4,Army,R&D,No Competition (Other Exception),No competition,119903000,NULL
1990,18:19.4,DLA,ERS,No Competition (Only One Source Exception),No competition,57000,NULL
1990,18:19.4,DLA,FRS&C,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,363000,NULL
1990,18:19.4,DLA,Fuel,Limited Competition with multiple offers,Two Offers,1060258000,NULL
1990,18:19.4,DLA,ICT,Competition with single offer,One Offer,6945000,NULL
1990,18:19.4,DLA,ICT,No Competition (Only One Source Exception),No competition,4019000,NULL
1990,18:19.4,DLA,MED,Competition with single offer,One Offer,32000,NULL
1990,18:19.4,DLA,PAMS,No Competition (Other Exception),No competition,3036000,NULL
1990,18:19.4,Navy,ERS,No Competition (Unlabeled Exception),No competition,72733000,NULL
1990,18:19.4,Navy,ERS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,17162000,NULL
1990,18:19.4,Navy,FRS&C,No Competition (Other Exception),No competition,275160000,NULL
1990,18:19.4,Navy,MED,No Competition (Unlabeled Exception),No competition,127000,NULL
1990,18:19.4,Navy,Products,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,5614815000,NULL
1990,18:19.4,Navy,R&D,Unlabeled: Competition; Unlabeled Offers,NULL,375761000,NULL
1990,18:19.4,Other DoD,FRS&C,Limited Competition with multiple offers,Two Offers,21164000,NULL
1990,18:19.4,Other DoD,ICT,No Competition (Only One Source Exception),No competition,32087000,NULL
1990,18:19.4,Other DoD,MED,Competition with single offer,One Offer,44108000,NULL
1990,18:19.4,Other DoD,MED,No Competition (Only One Source Exception),No competition,-11000,NULL
1990,18:19.4,Other DoD,PAMS,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,835000,NULL
1991,18:19.4,Air Force,ICT,Competition with single offer,One Offer,167014000,NULL
1991,18:19.4,Air Force,ICT,Limited Competition with multiple offers,Two Offers,486269000,NULL
1991,18:19.4,Air Force,ICT,Unlabeled: Competition; Unlabeled Offers,NULL,38673000,NULL
1991,18:19.4,Air Force,PAMS,Competition with single offer,One Offer,218115000,NULL
