fiscal_year,Query_Run,Customer,Services Category,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
fiscal_year,Customer,Query_Run,ServicesCategory,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
1987,Defense,20:49.0,ICT,Firm Fixed Price,-171000,NULL
1989,Defense,20:49.0,ERS,Cost Plus Fixed Fee,10173000,NULL
1989,Defense,20:49.0,PAMS,NULL,1912000,NULL
1989,Defense,20:49.0,Products,NULL,279481000,NULL
1989,Defense,20:49.0,R&D,Cost Sharing,250000,NULL
1989,Defense,20:49.0,R&D,Firm Fixed Price,10935000,NULL
1990,Defense,20:49.0,FRS&C,Fixed Price Incentive,122373000,NULL
1990,Defense,20:49.0,ICT,Fixed Price with Economic Price Adjustment,5105000,NULL
1990,Defense,20:49.0,MED,Cost Plus Fixed Fee,10064000,NULL
1990,Defense,20:49.0,PAMS,Cost Plus Incentive,158528000,NULL
1990,Defense,20:49.0,Products,Cost Plus Incentive,504792000,NULL
1990,Defense,20:49.0,R&D,NULL,188215000,NULL
1990,Defense,20:49.0,R&D,Cost No Fee,1022951000,NULL
1990,Defense,20:49.0,R&D,Cost Plus Award Fee,1514273000,NULL
1991,Defense,20:49.0,ERS,Cost Plus Incentive,126606000,NULL
1991,Defense,20:49.0,FRS&C,Cost Plus Award Fee,1996982504,NULL
1991,Defense,20:49.0,FRS&C,Cost Sharing,2746000,NULL
1991,Defense,20:49.0,FRS&C,Labor Hours,5762921,NULL
1991,Defense,20:49.0,ICT,Fixed Price Incentive,93394000,NULL
1992,Defense,20:49.0,FRS&C,NULL,262565280,NULL
1992,Defense,20:49.0,FRS&C,Cost No Fee,674971572,NULL
1992,Defense,20:49.0,FRS&C,Time and Materials,248521545,NULL
1992,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,3451134850,1
1992,Defense,20:49.0,ICT,Cost Plus Award Fee,321839806,NULL
1992,Defense,20:49.0,ICT,Cost Sharing,1260457,NULL
1992,Defense,20:49.0,ICT,Labor Hours,56772180,NULL
1992,Defense,20:49.0,PAMS,Cost Sharing,578601,NULL
1992,Defense,20:49.0,PAMS,Fixed Price Redetermination,24680586,NULL
1992,Defense,20:49.0,Products,Cost Sharing,16065994,NULL
1992,Defense,20:49.0,Products,Firm Fixed Price,33929098558,18
1992,Defense,20:49.0,Products,Fixed Price Incentive,8971364484,1
1992,Defense,20:49.0,Products,Fixed Price Redetermination,48409219,NULL
1992,Defense,20:49.0,R&D,Cost Plus Fixed Fee,6437077809,NULL
1993,Defense,20:49.0,ERS,Cost Sharing,10149331,NULL
1993,Defense,20:49.0,ERS,Firm Fixed Price,3570403198,214
1993,Defense,20:49.0,ICT,NULL,49121654,NULL
1993,Defense,20:49.0,ICT,Cost No Fee,104767604,NULL
1993,Defense,20:49.0,ICT,Time and Materials,265609063,38
1993,Defense,20:49.0,PAMS,Cost No Fee,91567994,NULL
1993,Defense,20:49.0,PAMS,Cost Plus Award Fee,1662179545,29
1993,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,278228596,NULL
1993,Defense,20:49.0,PAMS,Labor Hours,254421682,8
1993,Defense,20:49.0,Products,Cost No Fee,228086097,NULL
1993,Defense,20:49.0,Products,Cost Plus Award Fee,806831361,NULL
1993,Defense,20:49.0,Products,Fixed Price with Economic Price Adjustment,1959447638,1
1993,Defense,20:49.0,Products,Labor Hours,151187369,NULL
1993,Defense,20:49.0,R&D,Fixed Price Redetermination,7540658,NULL
1994,Defense,20:49.0,ERS,NULL,305507276,465
1994,Defense,20:49.0,ERS,Cost No Fee,11060779,27
1994,Defense,20:49.0,ERS,Cost Plus Award Fee,1032774513,844
1994,Defense,20:49.0,ERS,Fixed Price with Economic Price Adjustment,412385307,130
1988,Defense,20:49.0,Products,Cost Plus Fixed Fee,840000,NULL
1988,Defense,20:49.0,Products,Firm Fixed Price,1886670,NULL
1988,Defense,20:49.0,R&D,Time and Materials,58000,NULL
1989,Defense,20:49.0,ERS,Firm Fixed Price,132220000,NULL
1989,Defense,20:49.0,ICT,Labor Hours,41000,NULL
1989,Defense,20:49.0,ICT,Time and Materials,1584000,NULL
1989,Defense,20:49.0,PAMS,Cost No Fee,1415000,NULL
1989,Defense,20:49.0,PAMS,Labor Hours,2051000,NULL
1989,Defense,20:49.0,Products,Cost Plus Award Fee,13723000,NULL
1989,Defense,20:49.0,Products,Fixed Price Redetermination,58000,NULL
1990,Defense,20:49.0,NULL,NULL,NULL,NULL
1990,Defense,20:49.0,ERS,NULL,390715000,NULL
1990,Defense,20:49.0,ERS,Cost Plus Award Fee,271649000,NULL
1990,Defense,20:49.0,ERS,Firm Fixed Price,4612383114,NULL
1990,Defense,20:49.0,ERS,Fixed Price Redetermination,8570000,NULL
1990,Defense,20:49.0,ICT,NULL,51590000,NULL
1990,Defense,20:49.0,ICT,Time and Materials,200881000,NULL
1990,Defense,20:49.0,MED,Firm Fixed Price,744413000,NULL
1990,Defense,20:49.0,PAMS,Fixed Price Incentive,66902000,NULL
1990,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,104974000,NULL
1990,Defense,20:49.0,PAMS,Labor Hours,240243000,NULL
1990,Defense,20:49.0,PAMS,Time and Materials,1012447125,NULL
1990,Defense,20:49.0,Products,Cost Plus Award Fee,186987000,NULL
1990,Defense,20:49.0,R&D,Fixed Price with Economic Price Adjustment,66816000,NULL
1990,Defense,20:49.0,R&D,Labor Hours,42170000,NULL
1991,Defense,20:49.0,ERS,Cost Plus Award Fee,364921537,NULL
1991,Defense,20:49.0,ICT,Cost Plus Fixed Fee,648408751,NULL
1991,Defense,20:49.0,ICT,Firm Fixed Price,2027180911,NULL
1991,Defense,20:49.0,MED,NULL,204000,NULL
1991,Defense,20:49.0,MED,Cost Plus Award Fee,-1442000,NULL
1991,Defense,20:49.0,MED,Firm Fixed Price,296696920,NULL
1991,Defense,20:49.0,MED,Fixed Price Redetermination,138184000,NULL
1991,Defense,20:49.0,PAMS,Fixed Price Incentive,101370000,NULL
1991,Defense,20:49.0,PAMS,Time and Materials,1211439554,NULL
1991,Defense,20:49.0,Products,Cost Plus Fixed Fee,2070319258,NULL
1991,Defense,20:49.0,R&D,Fixed Price Incentive,3643552000,NULL
1991,Defense,20:49.0,R&D,Time and Materials,247875913,NULL
1992,Defense,20:49.0,ERS,Cost Plus Fixed Fee,613859455,NULL
1992,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,263287820,NULL
1992,Defense,20:49.0,ICT,Cost Plus Fixed Fee,640899495,NULL
1992,Defense,20:49.0,ICT,Fixed Price Redetermination,5433134,NULL
1992,Defense,20:49.0,MED,Cost Plus Award Fee,9189581,NULL
1992,Defense,20:49.0,PAMS,NULL,799456801,NULL
1992,Defense,20:49.0,PAMS,Firm Fixed Price,4786691429,2
1992,Defense,20:49.0,R&D,Firm Fixed Price,2603503918,1
1992,Defense,20:49.0,R&D,Fixed Price Incentive,2564347667,NULL
1993,Defense,20:49.0,ERS,Cost Plus Fixed Fee,687596565,16
1993,Defense,20:49.0,ERS,Fixed Price Redetermination,19084679,NULL
1993,Defense,20:49.0,FRS&C,Fixed Price Incentive,44778048,10
1993,Defense,20:49.0,FRS&C,Fixed Price with Economic Price Adjustment,221339546,NULL
NULL,Defense,20:49.0,NULL,Firm Fixed Price,259871,1
1988,Defense,20:49.0,ICT,Firm Fixed Price,91000,NULL
1989,Defense,20:49.0,ERS,Time and Materials,2221000,NULL
1989,Defense,20:49.0,PAMS,Firm Fixed Price,35840000,NULL
1989,Defense,20:49.0,Products,Firm Fixed Price,225102946,NULL
1989,Defense,20:49.0,R&D,NULL,96000,NULL
1990,Defense,20:49.0,ERS,Cost Plus Incentive,1107441000,NULL
1990,Defense,20:49.0,ICT,Firm Fixed Price,1598608000,NULL
1990,Defense,20:49.0,MED,Time and Materials,309000,NULL
1990,Defense,20:49.0,PAMS,Cost Plus Award Fee,1003819000,NULL
1990,Defense,20:49.0,R&D,Cost Sharing,183333000,NULL
1991,Defense,20:49.0,ERS,NULL,271629082,NULL
1991,Defense,20:49.0,FRS&C,NULL,434467986,NULL
1991,Defense,20:49.0,Fuel,Fixed Price with Economic Price Adjustment,5906198000,NULL
1991,Defense,20:49.0,ICT,Cost Plus Award Fee,352168000,NULL
1991,Defense,20:49.0,PAMS,Firm Fixed Price,5035800717,1
1991,Defense,20:49.0,PAMS,Fixed Price Redetermination,34820000,NULL
1991,Defense,20:49.0,Products,Cost Sharing,22956000,NULL
1991,Defense,20:49.0,Products,Firm Fixed Price,44023680328,3
1991,Defense,20:49.0,Products,Fixed Price Incentive,9130988861,NULL
1991,Defense,20:49.0,R&D,NULL,207479000,NULL
1991,Defense,20:49.0,R&D,Cost No Fee,960243000,NULL
1991,Defense,20:49.0,R&D,Labor Hours,49628000,NULL
1992,Defense,20:49.0,ERS,Cost Plus Incentive,265144096,NULL
1992,Defense,20:49.0,FRS&C,Cost Sharing,9521987,NULL
1992,Defense,20:49.0,Fuel,Fixed Price Incentive,39147,NULL
1992,Defense,20:49.0,ICT,NULL,38471067,NULL
1992,Defense,20:49.0,MED,NULL,1959490,NULL
1992,Defense,20:49.0,PAMS,Cost Plus Award Fee,1376373524,1
1992,Defense,20:49.0,PAMS,Cost Plus Fixed Fee,3846360724,2
1992,Defense,20:49.0,PAMS,Fixed Price with Economic Price Adjustment,118989186,NULL
1992,Defense,20:49.0,Products,Cost No Fee,99160255,NULL
