fiscal_year,Query_Run,Customer,SubCustomer,FundingMechanismClassification,SumOfobligatedAmount,SumOfnumberOfActions
NULL,00:36.7,Defense,Army,NULL,NULL,NULL
1989,00:36.7,Defense,Army,Cost No Fee,499000,NULL
1989,00:36.7,Defense,Army,Time and Materials,30000,NULL
1989,00:36.7,Defense,Navy,Cost Plus Fixed Fee,45352000,NULL
1990,00:36.7,Defense,Air Force,Cost No Fee,1023553000,NULL
1990,00:36.7,Defense,Air Force,Cost Plus Award Fee,1830430000,NULL
1990,00:36.7,Defense,Air Force,Labor Hours,209473000,NULL
1990,00:36.7,Defense,Army,Cost Plus Incentive,711327000,NULL
1990,00:36.7,Defense,Army,Cost Sharing,41008000,NULL
1990,00:36.7,Defense,Army,Fixed Price Redetermination,43264000,NULL
1990,00:36.7,Defense,DLA,Fixed Price Redetermination,786000,NULL
1990,00:36.7,Defense,Navy,NULL,7326509000,NULL
1990,00:36.7,Defense,Other DoD,Cost Sharing,17042000,NULL
1991,00:36.7,Defense,Air Force,Cost Sharing,108677000,NULL
1991,00:36.7,Defense,Air Force,Fixed Price Incentive,6750461000,NULL
1991,00:36.7,Defense,Air Force,Time and Materials,1339671000,NULL
1991,00:36.7,Defense,Army,Cost No Fee,254718000,NULL
1991,00:36.7,Defense,Army,Cost Plus Fixed Fee,2696958000,NULL
1991,00:36.7,Defense,Navy,Cost Sharing,56410000,NULL
1991,00:36.7,Defense,Other DoD,Cost No Fee,105182000,NULL
1991,00:36.7,Defense,Other DoD,Labor Hours,29928000,NULL
1992,00:36.7,Defense,Air Force,Cost No Fee,1161606078,NULL
1992,00:36.7,Defense,Air Force,Cost Plus Award Fee,3945738849,NULL
1992,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,3251736955,NULL
1992,00:36.7,Defense,Air Force,Labor Hours,281409878,NULL
1992,00:36.7,Defense,Army,Cost Plus Incentive,2401011170,NULL
1992,00:36.7,Defense,Army,Fixed Price Redetermination,145545798,NULL
1992,00:36.7,Defense,DLA,Fixed Price Redetermination,2218235,NULL
1992,00:36.7,Defense,Navy,NULL,1770351954,NULL
1992,00:36.7,Defense,Other DoD,Cost Sharing,54853112,NULL
1992,00:36.7,Defense,Other DoD,Fixed Price Redetermination,173418407,NULL
1992,00:36.7,Defense,Other DoD,Time and Materials,17564982,NULL
1993,00:36.7,Defense,Air Force,Time and Materials,1437421407,NULL
1993,00:36.7,Defense,Army,Cost Plus Fixed Fee,3600773033,NULL
1993,00:36.7,Defense,DLA,Fixed Price with Economic Price Adjustment,4566048371,NULL
1993,00:36.7,Defense,Navy,Cost Sharing,17457918,NULL
1993,00:36.7,Defense,Other DoD,Cost No Fee,164117112,NULL
1993,00:36.7,Defense,Other DoD,Cost Plus Fixed Fee,1474463490,NULL
1993,00:36.7,Defense,Other DoD,Labor Hours,30068239,NULL
1994,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,3214559567,5118
1994,00:36.7,Defense,Air Force,Fixed Price Redetermination,272384099,208
1994,00:36.7,Defense,Army,NULL,1189858047,1081
1994,00:36.7,Defense,DLA,NULL,119925996,277
1994,00:36.7,Defense,MDA,Cost Plus Award Fee,88514439,70
1994,00:36.7,Defense,MilitaryHealth,Firm Fixed Price,461597251,104
1994,00:36.7,Defense,Navy,NULL,1791349607,1943
1994,00:36.7,Defense,Navy,Cost No Fee,366337415,449
1994,00:36.7,Defense,Navy,Labor Hours,69141730,506
1988,00:36.7,Defense,Navy,Cost Plus Fixed Fee,1434000,NULL
1988,00:36.7,Defense,Other DoD,NULL,44000,NULL
1989,00:36.7,Defense,Other DoD,Cost Plus Incentive,2921000,NULL
1990,00:36.7,Defense,Air Force,Cost Sharing,114159000,NULL
1990,00:36.7,Defense,Air Force,Firm Fixed Price,15645468000,NULL
1990,00:36.7,Defense,Air Force,Fixed Price Incentive,7609805000,NULL
1990,00:36.7,Defense,Army,Cost Plus Fixed Fee,1633200000,NULL
1990,00:36.7,Defense,Navy,Cost Plus Incentive,1667513000,NULL
1991,00:36.7,Defense,Air Force,Cost No Fee,1098535000,NULL
1991,00:36.7,Defense,Air Force,Cost Plus Award Fee,2451895000,NULL
1991,00:36.7,Defense,Air Force,Fixed Price with Economic Price Adjustment,1206923000,NULL
1991,00:36.7,Defense,Air Force,Labor Hours,208921000,NULL
1991,00:36.7,Defense,Army,Cost Plus Incentive,1696350000,NULL
1991,00:36.7,Defense,Army,Fixed Price Redetermination,84458000,NULL
1991,00:36.7,Defense,DLA,Fixed Price Redetermination,79493000,NULL
1991,00:36.7,Defense,Navy,Fixed Price Incentive,6604056111,NULL
1991,00:36.7,Defense,Other DoD,Cost Sharing,38189000,NULL
1991,00:36.7,Defense,Other DoD,Fixed Price Redetermination,146585000,NULL
1992,00:36.7,Defense,Air Force,NULL,2956587712,NULL
1992,00:36.7,Defense,Air Force,Time and Materials,1425952573,NULL
1992,00:36.7,Defense,Army,Fixed Price with Economic Price Adjustment,1536763471,NULL
1992,00:36.7,Defense,Navy,Cost Sharing,68232780,NULL
1992,00:36.7,Defense,Navy,Firm Fixed Price,21722960820,23
1992,00:36.7,Defense,Other DoD,NULL,10606632,NULL
1992,00:36.7,Defense,Other DoD,Cost No Fee,140552128,NULL
1992,00:36.7,Defense,Other DoD,Fixed Price with Economic Price Adjustment,884099031,NULL
1992,00:36.7,Defense,Other DoD,Labor Hours,28318233,NULL
1993,00:36.7,Defense,Air Force,Cost Plus Fixed Fee,3515848546,NULL
1993,00:36.7,Defense,Army,Firm Fixed Price,15357126768,NULL
1993,00:36.7,Defense,Army,Fixed Price Incentive,245933073,NULL
1993,00:36.7,Defense,DLA,Cost Sharing,6134723,NULL
1993,00:36.7,Defense,DLA,Firm Fixed Price,3208754302,NULL
1993,00:36.7,Defense,DLA,Fixed Price Incentive,57475,NULL
1993,00:36.7,Defense,Navy,NULL,1768733319,23
1993,00:36.7,Defense,Navy,Cost No Fee,153464297,2
1993,00:36.7,Defense,Navy,Cost Plus Award Fee,1714821148,48
1993,00:36.7,Defense,Navy,Labor Hours,94398455,28
1993,00:36.7,Defense,Other DoD,Firm Fixed Price,2637612845,NULL
1993,00:36.7,Defense,Other DoD,Time and Materials,62761483,NULL
1994,00:36.7,Defense,Army,Cost Plus Award Fee,1621665736,1588
1994,00:36.7,Defense,Army,Labor Hours,30610045,126
