2005,48:26.1,Defense,Navy,Full Competition (Multiple Offers),5-9 Offers,11908,2114289086
2013,48:26.1,Defense,MDA,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,1,231078.4
1998,48:26.1,Defense,Army,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,683,123749422
2009,48:26.1,Defense,DLA,Limited Competition with multiple offers,100+ Offers,7,4456821.79
2005,48:26.1,Defense,MilitaryHealth,Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,1,615109
1992,48:26.1,Defense,Air Force,No Competition (Unlabeled Exception),No competition,NULL,5502261816
2012,48:26.1,Defense,MDA,Full Competition (Multiple Offers),5-9 Offers,114,76264108.46
2004,48:26.1,Defense,Other DoD,Limited Competition with multiple offers,10-24 Offers,359,229337364
1999,48:26.1,Defense,Air Force,Competition with single offer,One Offer,5067,1645178243
2005,48:26.1,Defense,MDA,Competition with single offer (Overrode blank Fair Opportunity),One Offer,14,1250300
2005,48:26.1,Defense,Army,Competition with single offer (Overrode blank Fair Opportunity),One Offer,39843,2892603697
2012,48:26.1,Defense,DLA,Full Competition (Multiple Offers),5-9 Offers,151411,6037974006
1993,48:26.1,Defense,Other DoD,Limited Competition with multiple offers,Two Offers,NULL,3362262272
2012,48:26.1,Defense,Other DoD,Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,4,4501130.85
2005,48:26.1,Defense,Air Force,Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,801,365008180
2001,48:26.1,Defense,DLA,Full Competition (Multiple Offers),3-4 Offers,8236,979062706
2006,48:26.1,Defense,Army,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,1176,121333028.5
2007,48:26.1,Defense,Navy,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,9658,157955858.8
1996,48:26.1,Defense,Navy,Limited Competition with multiple offers,5-9 Offers,280,68599150
2008,48:26.1,Defense,Other DoD,No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),1,-1217
2006,48:26.1,Defense,MDA,No Competition (Follow on to competed action),No competition,14,7880885
1998,48:26.1,Defense,Air Force,Limited Competition with multiple offers,10-24 Offers,2846,572204122
2009,48:26.1,Defense,MilitaryHealth,Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,2,0
2001,48:26.1,Defense,MilitaryHealth,Limited Competition with multiple offers,Two Offers,1,109677
1993,48:26.1,Defense,Army,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,NULL,15805334
2013,48:26.1,Defense,Army,Full Competition (Multiple Offers),Two Offers,13377,6362342548
2011,48:26.1,Defense,Air Force,No Competition (Unlabeled Exception),No competition,76,6225122.7
