"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2000-09-30,"Firm Fixed Price","ICT","Uncategorized","08:22.5",0,NA,"Other DoD","Other DoD","Additional DoD Components",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0,0,0
2000-09-30,"Fixed Price Redetermination","Aircraft","Other DoD","08:22.5",56000,1,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Aircraft","Aircraft","A","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,7.62417331446134e-05,7.60456273764259e-05,4.7481880270062
2000-09-30,"Cost Plus Award Fee","ICT","Other DoD","08:22.5",118544540,92,"Other DoD","Other DoD","Additional DoD Components",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.161393592579124,0.160978462791961,8.07388155576272
2000-09-30,"Time and Materials","Other","Other DoD","08:22.5",1231873,8,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Other","Other Products","Y","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0016771452238224,0.00167283134166214,6.0905659365279
2000-09-30,"Firm Fixed Price","PAMS","Other DoD","08:22.5",270880946.6,973,"Other DoD","Other DoD","Additional DoD Components",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.368793443654241,0.36784484872352,8.43277845842005
2000-09-30,"Cost No Fee","R&D","Other DoD","08:22.5",33413079,99,"Other DoD","Other DoD","Additional DoD Components",FALSE,"R&D","R&D","R&D","Other Services","S","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.045490554511748,0.0453735456273764,7.52391649752071
2000-09-30,"Cost Plus Fixed Fee","Ships","Other DoD","08:22.5",1443703,2,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Ships","Other Platform/Weap.","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0019655431940371,0.00196048750678979,6.15947785893464
2001-09-30,"Firm Fixed Price","ICT","Uncategorized","08:22.5",0,NA,"Other DoD","Other DoD","Additional DoD Components",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.753098827,0.768284347,0.7860827,0.8992,0.756,0,0,0
2000-09-30,"Time and Materials","Electronics & Communications","Other DoD","08:22.5",400039,7,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","Y","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000544636905097107,0.000543236013036393,5.60210233297583
2000-09-30,"Labor Hours","ERS","Other DoD","08:22.5",19810394,9,"Other DoD","Other DoD","Additional DoD Components",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","Z","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0269710495149581,0.0269016757197175,7.29689311311171
2000-09-30,"Cost Plus Fixed Fee","FRS&C","Other DoD","08:22.5",47782651,21,"Other DoD","Other DoD","Additional DoD Components",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0650541451157892,0.0648868155893536,7.67927024090848
2000-09-30,"Firm Fixed Price","FRS&C","Other DoD","08:22.5",148508893,400,"Other DoD","Other DoD","Additional DoD Components",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.202188846244785,0.20166878462792,8.17175246082621
2000-09-30,"Not Reported","Ground Vehicles","Other DoD","08:22.5",375865,4,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Ground Vehicles","Ground Vehicles","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000511724982650002,0.000510408745247148,5.57503188672855
2000-09-30,"Cost Plus Fixed Fee","Unlabeled","Other DoD","08:22.5",2188865,9,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Unlabeled","Unlabeled","Unlabeled","Unlabeled","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00298005109320686,0.00297238593155894,6.34021897693429
2000-09-30,"Fixed Price with Economic Price Adjustment","Aircraft","Other DoD","08:22.5",898398,2,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Aircraft","Aircraft","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00122313251024383,0.00121998642042368,5.95346877643469
2000-09-30,"Cost Plus Award Fee","Electronics & Communications","Other DoD","08:22.5",-155526,2,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,-0.000211742353375878,-0.000211197718631179,NA
2000-09-30,"Cost Plus Fixed Fee","Electronics & Communications","Other DoD","08:22.5",14655919,17,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0199534404533405,0.0199021170559479,7.16601305608154
2000-09-30,"Not Reported","Engines & Power Plants","Other DoD","08:22.5",501274,7,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000682464259648803,0.000680708853883759,5.7000751792802
2000-09-30,"Fixed Price Award Fee","ERS","Other DoD","08:22.5",6566,1,"Other DoD","Other DoD","Additional DoD Components",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","M","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",0,"Fixed Price",0,0.734505863,0.749316473,0.766675409,0.877,0.7364,8.93934321120593e-06,8.91634980988593e-06,3.81730087839332
2000-09-30,"Cost Plus Incentive","FRS&C","Other DoD","08:22.5",189000,1,"Other DoD","Other DoD","Additional DoD Components",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","V","Cost (Plus Incentive)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00025731584936307,0.000256653992395437,5.27646180417324
2000-09-30,"Firm Fixed Price","Ground Vehicles","Other DoD","08:22.5",2990100,6,"Other DoD","Other DoD","Additional DoD Components",FALSE,"Products","Products (All)","Ground Vehicles","Ground Vehicles","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00407090011206623,0.00406042911461162,6.4756857129806
